,Supplier,Recipient,No,Weapon,Description,Year,Year(s),Delivered,Comments
628,Brazil,     Saudi Arabia,76,ASTROS-2,Self-propelled MRL,1987,1987-1992,76,$500 m deal (mainly for ammunition)
629,Brazil,     South Korea,30,T-37B,Trainer aircraft,1980,1980,30,Second-hand; T-37C version
630,Brazil,     Suriname,15,EE-11 Urutu,APC,1983,1984,15,Part of $15 m aid
632,Brazil,     Togo,3,MB-326GB,Trainer/combat ac,1975,1976,3,$8 m deal (incl $2.1 m for training and support); EMB-326 Xavante version
634,Brazil,     Tunisia,6,EE-11 Urutu,APC,1982,1983,6,
637,Brazil,     UAE,60,EE-11 Urutu,APC,1982,1982-1983,60,For Dubai; no. could be between 30 and 120
638,Brazil,     United Kingdom,5,Phenom-100,Light transport ac,2016,2017-2018,5,Part of 'MFTS' programme; for UK company for training of UK armed forces in 'MFTS' programme
639,Brazil,     Unknown recipient(s),50,SMKB,Guided bomb,2010,2013,50,Recipient is South American country (possibly Ecuador or Peru)
640,Brazil,     Uruguay,5,EMB-110 Bandeirante,Light transport ac,1975,1976,5,EMB-110C version
648,Brazil,     Venezuela,38,EE-11 Urutu,APC,1983,1984,38,"Incl IFV, ARV and command post versions"
650,Brazil,     Zimbabwe,90,EE-9 Cascavel,Armoured car,1983,1984-1987,90,Option on 60 more not used
653,Brunei, Indonesia,2,Waspada,FAC,2010,2011,2,Second-hand; aid; for training
654,Brunei,     Malaysia,4,S-70/UH-60L,Helicopter,2014,2016,4,Second-hand
657,Bulgaria, Angola,29,BMP-1,IFV,1993,1993,29,Second-hand; 21 more ex-Belarussian delivered via Bulgarian company
667,Bulgaria,     Argentina,50,Strela-2/SA-7,Portable SAM,1983,1983,50,
668,Bulgaria,     Azerbaijan,36,M-46 130mm,Towed gun,2002,2002,36,Second-hand
669,Bulgaria,     Burkina Faso,1,Mi-24P/Mi-35P,Combat helicopter,2018,2018,1,Second-hand
670,Bulgaria,     Cambodia,18,MiG-21bis,Fighter aircraft,1986,1986,18,Second-hand; supplier uncertain; no. could be 16
675,Bulgaria,     Chad,10,2S1 122mm,Self-propelled gun,2007,2008-2009,10,Second-hand
676,Bulgaria,     Congo,18,M-43 120mm,Mortar,1998,1998,18,Probably Second-hand; designation uncertain; delivered via Poland; recipient could be DRC
678,Bulgaria,     Cote d'Ivoire,10,Strela-2/SA-7,Portable SAM,2000,2000,10,Probably Second-hand
685,Bulgaria,     Czechia,40,9M114 Shturm/AT-6,Anti-tank missile,1998,1999-2000,40,Probably second-hand; part of $1.8 m deal for 80 AT-6 missiles from Ukraine and Bulgaria
687,Bulgaria,     DR Congo,12,D-20 152mm,Towed gun,2013,2013-2015,12,Second-hand
688,Bulgaria,     Egypt,2,MT-LB,APC,2014,2014,2,Possibly second-hand
689,Bulgaria,     Eritrea,12,2S1 122mm,Self-propelled gun,1999,1999,12,Probably Second-hand
696,Bulgaria,     Estonia,14,M-43 120mm,Mortar,1996,1997,14,Second-hand; designation uncertain
697,Bulgaria,     Ethiopia,50,T-55,Tank,1998,1998,50,Second-hand; may incl some from Ukraine and/or Romania sold via Bulgaria
700,Bulgaria,     Georgia,2,Project-106K/Vydra,Landing craft,2001,2001,2,Second-hand; aid; Georgian designation Guria
707,Bulgaria,     Iraq,400,2B11 120mm,Mortar,2014,2014-2017,400,Probably second-hand; designation uncertain (reported as '120mm mortar'); supplier could be Serbia (and delivered via Bulgaria)
710,Bulgaria,     Lithuania,20,2B11 120mm,Mortar,1999,1999,20,Designation uncertain
712,Bulgaria,     Macedonia,8,D-20 152mm,Towed gun,1999,1999,8,Second-hand; aid; no. delivered could be 10
716,Bulgaria,     Mali,44,BRDM-2,Reconnaissance AV,2006,2007-2009,44,Second-hand
722,Bulgaria,     Myanmar,100,Igla-1/SA-16,Portable SAM,1998,1999,100,Supplier uncertain
723,Bulgaria,     Nicaragua,25,BRDM-2,Reconnaissance AV,1982,1983,25,Second-hand
724,Bulgaria,     Nigeria,10,BM-21 Grad 122mm,Self-propelled MRL,2015,2015,10,
726,Bulgaria,     Peru,417,Igla-1/SA-16,Portable SAM,1994,1994-1996,417,Deal also incl 56 launchers
727,Bulgaria,     Romania,42,2S1 122mm,SPG turret,1988,1989-1992,42,For M-89 (Model-1989) self-propelled gun produced in Romania
728,Bulgaria,     Saudi Arabia,2200,9M111 Fagot/AT-4,Anti-tank missile,2015,2015-2017,2200,Possibly second-hand; probably for Saudi aid to Syrian rebels or Yemen
730,Bulgaria,     Senegal,8,2B11 120mm,Mortar,2014,2014,8,Possibly second-hand; designation uncertain (reported as '120mm mortar')
732,Bulgaria,     Southern rebels (Yemen)*,10,M-43 120mm,Mortar,1994,1994,10,Designation uncertain; probably Second-hand
735,Bulgaria,     Soviet Union,3,MiG-25RB,Reconnaissance ac,1990,1991,3,Second-hand; exchanged for 5 MiG-23BN fighter aircraft
736,Bulgaria,     Syria,210,2B11 120mm,Mortar,1992,1992,210,Designation uncertain
737,Bulgaria,     Tajikistan,15,BM-21 Grad 122mm,Self-propelled MRL,2013,2013,15,Second-hand
738,Bulgaria,     Togo,6,2S1 122mm,Self-propelled gun,1996,1997,6,Probably second-hand; probably meant for UNITA but stranded in Togo
739,Bulgaria,     UAE,900,9M113 Konkurs/AT-5,Anti-tank missile,2002,2003,900,For BTR-3U IFVs from Ukraine
740,Bulgaria,     Uganda,28,T-55,Tank,1998,1998,28,Second-hand; part of $35 m deal for 90 incl some bought by Bulgaria from Ukraine and possibly Romania for export to Uganda
745,Bulgaria,     United States,2,Mi-24D/Mi-25,Combat helicopter,2002,2003,2,Second-hand
748,Bulgaria,     Unknown recipient(s),3,L-39Z Albatros,Trainer/combat ac,2011,2013,3,Second-hand; L-39ZA version
749,Bulgaria,     Zimbabwe,60,M-43 120mm,Mortar,1999,2000,60,Designation uncertain; probably Second-hand
752,Cambodia, LTTE (Sri Lanka)*,25,Strela-2/SA-7,Portable SAM,1994,1994-1995,25,Second-hand; supplier uncertain (reported acquired from source in Cambodia)
754,Cambodia,     MTA (Myanmar)*,10,Strela-2/SA-7,Portable SAM,1993,1993-1994,10,Second-hand; illegally sold via dealer in Singapore; several more confiscated in 1995 by Thailand while being delivered
757,Canada, Syria,10,DHC-1 Chipmunk,Trainer aircraft,1950,1951,10,
758,Canada,     Australia,64,Piranha,APC,1992,1994-1996,64,"Part of $88 m 'Project Land-112 Phase-2' or 'ASLAV programme Phase-2'; most assembled from kits in Australia; incl 2 ambulance, 10 ARV, 9 CP and 10 radar reconnaissance version; Australian designation ASLAV-PC/R/A/S"
762,Canada,     Chile,1,Aquiles,Transport ship,1985,1988,1,Designed for production in Chile
763,Canada,     United States,100,T-34 Mentor,Trainer aircraft,1953,1954-1955,100,T-34A version
774,Canada,     Afghanistan,20,PT6,Turboprop/turboshaft,2013,2016,20,For 20 EMB-314 trainer/combat aircraft from Brazil
776,Canada,     African Union**,105,Piranha,APC,2004,2005,105,Second-hand; loan; for use by AU/AMIS peacekeeping forces in Darfur (Sudan); Grizzly and Husky version
777,Canada,     Algeria,12,PW100,Turboprop/turboshaft,2004,2005-2006,12,PW127 version for 6 C-295 transport aircraft from Spain
778,Canada,     Angola,1,APS-504(V),MP aircraft radar,1980,1980,1,For 1 F-27 Maritime MP aircraft from the Netherlands
787,Canada,     Argentina,3,DHC-2 Beaver,Light aircraft,1964,1964,3,Second-hand
793,Canada,     Australia,2,DHC-3 Otter,Light transport ac,1953,1953,2,
803,Canada,     Austria,87,Centurion turret,Tank turret,1979,1980,87,Second-hand; sold via FRG; for use in fortifications
805,Canada,     Bahrain,27,AGM-65 Maverick,ASM,2014,2016,27,Second-hand
806,Canada,     Bangladesh,2,PW100,Turboprop/turboshaft,2016,2017,2,For 1 C-295 transport aircraft from Spain
807,Canada,     Belgium,53,CF-100 Canuck,Fighter aircraft,1956,1957-1958,53,CF-100 Mk-5 version
812,Canada,     Benin,1,DHC-6 Twin Otter,Transport aircraft,1995,1996,1,Second-hand; DHC-6-300 version; probably also for government VIP transport
813,Canada,     Bolivia,15,T-33A Shooting Star,Trainer aircraft,1973,1974,15,Second-hand
817,Canada,     Botswana,7,PT6,Turboprop/turboshaft,1989,1990,7,For 7 PC-7 trainer aircraft from Switzerland; PT-6A-25A version
821,Canada,     Brazil,2,S-2A Tracker,ASW aircraft,1960,1961,2,Brazilian designation P-16
833,Canada,     Brunei,4,PT6,Turboprop/turboshaft,1996,1997,4,For PC-7 Mk-2 trainer aircraft from Switzerland; PT-6A-25C version
834,Canada,     Bulgaria,6,PT6,Turboprop/turboshaft,2003,2004,6,For 6 PC-9M trainer aircraft from Switzerland; PT-6A-62 version
835,Canada,     Burkina Faso,3,PT6,Turboprop/turboshaft,2010,2011,3,For 3 EMB-314 trainer/combat aircraft from Brazil
837,Canada,     Cambodia,4,PW100,Turboprop/turboshaft,2012,2012,4,PW127 version for 2 MA-60 transport aircraft from China
838,Canada,     Cameroon,2,DHC-4 Caribou,Transport aircraft,1970,1971,2,
843,Canada,     Chad,1,PT6,Turboprop/turboshaft,2006,2006,1,For 1 PC-9 trainer aircraft from Switzerland
844,Canada,     Chile,8,DHC-2 Beaver,Light aircraft,1950,1952,8,
855,Canada,     China,3,APS-504(V),MP aircraft radar,1983,1984-1985,3,For 3 Y-8X MP aircraft produced in China
856,Canada,     Colombia,20,DHC-2 Beaver,Light aircraft,1950,1951-1952,20,
870,Canada,     Cote d'Ivoire,2,PW100,Turboprop/turboshaft,2018,2019,2,For 1 C-295 transport aircraft from Spain
871,Canada,     Croatia,20,PT6,Turboprop/turboshaft,1996,1996,3,For 20 PC-9/PC-9M trainer aircraft from Switzerland; PT-6A-62 version
872,Canada,     Cuba,3,DHC-2 Beaver,Light aircraft,1957,1957,3,
873,Canada,     Cyprus,2,PT6,Turboprop/turboshaft,1987,1989-1990,2,For 2 PC-9 trainer aircraft from Switzerland; PT-6A-62 version
874,Canada,     Czechia,8,PW100,Turboprop/turboshaft,2009,2011,8,PW127 version for 4 C-295 transport aircraft from Spain
876,Canada,     Denmark,4,Firefly,FGA aircraft,1951,1951,4,Second-hand; modified to Firefly TT-1 target towing aircraft in Denmark
882,Canada,     Djibouti,2,PW100,Turboprop/turboshaft,2013,2014,2,PW127 version for 1 MA60 transport aircraft from China
883,Canada,     Dominican Republic,1,DHC-2 Beaver,Light aircraft,1951,1951,1,
887,Canada,     DR Congo,2,DHC-4 Caribou,Transport aircraft,1964,1966,2,Second-hand; aid
889,Canada,     Ecuador,2,DHC-5 Buffalo,Transport aircraft,1974,1976,2,DHC-5D version
895,Canada,     Egypt,10,DHC-5 Buffalo,Transport aircraft,1981,1982,10,$101 m deal
904,Canada,     Ethiopia,9,Firefly,FGA aircraft,1953,1954,9,Second-hand; Firefly FR-1 version; incl 1 Firefly TF-1 trainer version
907,Canada,     Finland,2,DHC-2 Beaver,Light aircraft,1957,1958,2,
910,Canada,     France,6,Gaspe,Minesweeper,1954,1954,6,Financed by US 'MDAP' aid; French designation La Dunkerquoise
922,Canada,     Gabon,2,PT6,Turboprop/turboshaft,1980,1981,2,For 1 EMB-111 MP aircraft from Brazil; PT-6A-34 version
924,Canada,     Germany,75,F-86F Sabre,Fighter aircraft,1955,1957,75,Second-hand; financed by US 'MDAP' aid; CL-13B Sabre Mk-5 version
930,Canada,     Ghana,14,DHC-2 Beaver,Light aircraft,1960,1961,14,GBP0.35 m deal
935,Canada,     Greece,9,T-33A Shooting Star,Trainer aircraft,1954,1955,9,
942,Canada,     Guatemala,12,PT6,Turboprop/turboshaft,1978,1979-1981,12,For 12 PC-7 trainer aircraft from Switzerland; PT-6A-25A version
944,Canada,     Haiti,1,DHC-6 Twin Otter,Transport aircraft,1982,1983,1,DHC-6-100 version
946,Canada,     Honduras,12,PT6,Turboprop/turboshaft,1984,1985-1986,12,For 12 EMB-312 trainer aircraft from Brazil; PT-6A-25C version
947,Canada,     India,26,DHC-3 Otter,Light transport ac,1956,1956-1958,26,
959,Canada,     Indonesia,2,DHC-3 Otter,Light transport ac,1956,1958,2,
971,Canada,     Iran,4,DHC-2 Beaver,Light aircraft,1954,1955,4,
977,Canada,     Iraq,1,DHC-2 Beaver,Light aircraft,1954,1955,1,
984,Canada,     Ireland,8,DHC-1 Chipmunk,Trainer aircraft,1949,1950,8,
990,Canada,     Israel,5,DHC-1 Chipmunk,Trainer aircraft,1949,1951,5,
995,Canada,     Italy,100,CL-89,UAV,1970,1972-1982,100,
999,Canada,     Jamaica,1,DHC-6 Twin Otter,Transport aircraft,1966,1967,1,DHC-6-100 version
1002,Canada,     Jordan,4,PW100,Turboprop/turboshaft,2003,2003-2004,4,PW127 version for 2 C-295 transport aircraft from Spain
1007,Canada,     Kazakhstan,4,PW100,Turboprop/turboshaft,2012,2013,4,PW127 version for 2 C-295 transport aircraft from Spain
1011,Canada,     Kenya,3,DHC-2 Beaver,Light aircraft,1964,1964,3,
1018,Canada,     Kuwait,2,DHC-4 Caribou,Transport aircraft,1965,1966,2,
1019,Canada,     Laos,4,PW100,Turboprop/turboshaft,2010,2012,4,PW127 version for 2 MA-60 transport aircraft from China
1021,Canada,     Lebanon,3,DHC-1 Chipmunk,Trainer aircraft,1949,1950,3,
1023,Canada,     Malaysia,4,DHC-4 Caribou,Transport aircraft,1965,1966,4,Aid
1030,Canada,     Mali,4,PT6,Turboprop/turboshaft,2015,2018,4,For 4 EMB-314 trainer/combat aircraft from Brazil
1032,Canada,     Mauritania,2,DHC-5 Buffalo,Transport aircraft,1977,1977-1978,2,
1034,Canada,     Mexico,12,Vampire F-3,Fighter aircraft,1960,1961,12,Second-hand
1057,Canada,     Morocco,5,C-119 Packet,Transport aircraft,1971,1973,5,Second-hand but modernized in Italy before delivery
1059,Canada,     Myanmar,10,DHC-1 Chipmunk,Trainer aircraft,1951,1951-1954,10,
1065,Canada,     Netherlands,9,DHC-2 Beaver,Light aircraft,1955,1956,9,
1072,Canada,     New Zealand,105,Piranha-3,APC,2001,2003-2004,105,$241-388 m deal (offsets $3 m); incl 102 IFV and 3 ARV version; New Zealand designation NZLAV
1074,Canada,     Nigeria,2,APS-504(V),MP aircraft radar,1982,1986,2,For 2 F-27 Maritime MP aircraft from Netherlands
1077,Canada,     North Yemen,1,Norseman,Light transport ac,1955,1955,1,
1078,Canada,     Norway,10,DHC-3 Otter,Light transport ac,1954,1955,10,
1082,Canada,     Oman,3,DHC-4 Caribou,Transport aircraft,1968,1970,3,
1090,Canada,     Pakistan,3,APS-504(V),MP aircraft radar,1984,1986-1988,3,For 3 F-27 transport aircraft modified to F-27 Maritime MP aircraft in the Netherlands
1092,Canada,     Panama,1,DHC-6 Twin Otter,Transport aircraft,1969,1970,1,DHC-6-100 version
1097,Canada,     Paraguay,6,PT6,Turboprop/turboshaft,1987,1988,6,For 6 EMB-312 trainer aircraft from Brazil; PT-6A-25C version
1098,Canada,     Peru,4,DHC-2 Beaver,Light aircraft,1949,1950,4,
1111,Canada,     Philippines,3,APS-504(V),MP aircraft radar,1980,1981-1982,3,For 3 F-27 Maritime MP aircraft from the Netherlands
1116,Canada,     Poland,16,PW100,Turboprop/turboshaft,2001,2003-2005,16,PW127 version for 8 C-295 transport aircraft from Spain
1121,Canada,     Portugal,1,Bangor,Minesweeper,1950,1950,1,Second-hand; Portugese designation Carvalho; incl for use as survey ship
1129,Canada,     Qatar,24,PT6,Turboprop/turboshaft,2012,2014-2016,24,For 24 PC-21 trainer aircraft from Switzerland
1131,Canada,     Romania,2,HF SWR-503,Sea search radar,2008,2010-2011,2,
1132,Canada,     Saudi Arabia,30,PT6,Turboprop/turboshaft,1986,1986-1988,30,For 30 PC-9 trainer aircraft from Switzerland; PT-6A-62 version
1148,Canada,     Senegal,3,Interceptor,Patrol craft,1978,1979,3,
1151,Canada,     Singapore,30,JT15D,Turbofan,1983,1984-1987,30,For 30 S-211 trainer aircraft from Italy; JT-15D version
1154,Canada,     Slovenia,9,PT6,Turboprop/turboshaft,1997,1998-1999,9,For 9 PC-9M trainer aircraft from Switzerland; PT-6A-62 version
1155,Canada,     South Africa,50,Orenda,Turbojet,1954,1956,50,Orenda-14 version for 6 F-86F (CL-13B Sabre Mk-6) combat aircraft from USA (from Canadian production line); incl spare engines
1158,Canada,     South Korea,10,T-6 Texan,Trainer aircraft,1950,1950,10,Possibly Second-hand
1162,Canada,     South Yemen,6,DHC-2 Beaver,Light aircraft,1967,1967,6,Financed by UK aid
1163,Canada,     Spain,12,DHC-4 Caribou,Transport aircraft,1967,1967-1969,12,Spanish designation T-9
1174,Canada,     Sri Lanka,1,HS-748,Transport aircraft,1984,1984,1,Second-hand
1175,Canada,     Sudan,4,DHC-5 Buffalo,Transport aircraft,1977,1977-1978,4,Incl 1 for VIP transport
1176,Canada,     Suriname,3,PT6,Turboprop/turboshaft,1985,1986,3,For 3 PC-7 trainer aircraft from Switzerland; PT-6A-25A version
1177,Canada,     Sweden,8,Hydra,ASW sonar,1995,2004-2008,8,For 5 Visby corvettes produced in Sweden and for modernization of 1 Göteborg and 2 Stockholm FAC
1178,Canada,     Switzerland,6,PT6,Turboprop/turboshaft,2006,2008,6,For 6 PC-21 trainer aircraft produced in Switzerland; PT-6A-68B version
1180,Canada,     Taiwan,27,APS-504(V),MP aircraft radar,1986,1991-1993,27,For 27 S-2T ASW aircraft from USA
1181,Canada,     Tanzania,6,DHC-2 Beaver,Light aircraft,1965,1965,6,Possibly second-hand; aid
1186,Canada,     Thailand,18,DHC-1 Chipmunk,Trainer aircraft,1948,1950,18,$0.23 m deal
1198,Canada,     Togo,2,DHC-5 Buffalo,Transport aircraft,1975,1976,2,Originally ordered by Zaire but cancelled and sold to Togo
1199,Canada,     Turkey,20,9.2in Coastal Gun,Coastal gun,1950,1952-1955,20,Second-hand; financed by US aid
1211,Canada,     UAE,4,DHC-4 Caribou,Transport aircraft,1967,1968-1969,4,For Abu Dhabi
1228,Canada,     Uganda,1,DHC-4 Caribou,Transport aircraft,1965,1966,1,For police
1230,Canada,     Ukraine,39,Spartan,APC/APV,2014,2014-2015,39,
1231,Canada,     United Kingdom,45,DHC-2 Beaver,Light aircraft,1952,1952-1955,45,UK designation Beaver AL-1
1235,Canada,     United Nations**,2,DHC-3 Otter,Light transport ac,1960,1960,2,Supplier uncertain; probably Second-hand; aid for UNOC operations in Congo
1236,Canada,     United States,900,DHC-2 Beaver,Light aircraft,1948,1950-1964,900,US designation L-20 or U-6
1262,Canada,     Uruguay,1,DHC-2 Beaver,Light aircraft,1952,1952,1,
1267,Canada,     Uzbekistan,8,PW100,Turboprop/turboshaft,2014,2015-2016,8,PW127 version for 4 C-295 transport aircraft from Spain
1268,Canada,     Venezuela,9,B-25 Mitchell,Bomber aircraft,1953,1953,9,Second-hand
1275,Canada,     Viet Nam,3,DHC-6,MP aircraft,2010,2014,3,DHC-6-400 Guardian-400 version
1278,Canada,     Yugoslavia,1,DHC-2 Beaver,Light aircraft,1953,1954,1,
1279,Canada,     Zambia,9,DHC-2 Beaver,Light aircraft,1963,1965,9,Second-hand
1287,Chad, United States,36,BMP-1,IFV,1987,1987,36,Libyan equipment captured by Chad and transferred to USA; for technical evaluation; status uncertain
1291,Chile, Dominican Republic,8,T-35 Pillan,Trainer aircraft,1998,1999-2000,8,Incl for coastal patrol and anti-narcotics operations
1292,Chile,     Ecuador,4,T-35 Pillan,Trainer aircraft,2002,2002,4,
1294,Chile,     El Salvador,5,T-35 Pillan,Trainer aircraft,1997,1998,5,Second-hand but modernized before delivery
1296,Chile,     Guatemala,5,T-35 Pillan,Trainer aircraft,1998,1998,5,Second-hand but modernized before delivery
1297,Chile,     Mauritius,1,Guardian,OPV,1994,1996,1,$22 m deal; Mauritian designation Vigilant; for coast guard
1298,Chile,     Panama,4,T-35 Pillan,Trainer aircraft,1987,1988,4,T-35D version
1301,Chile,     Paraguay,4,Hiller-12/OH-23 Raven,Light helicopter,1980,1980,4,Second-hand; aid
1304,Chile,     Spain,40,T-35 Pillan,Trainer aircraft,1984,1986-1989,40,Ordered in exchange for Chilean order for C-101 trainer aircraft; assembled in Spain; T-35C version; Spanish designation E-26 Tamiz
